model,description,min_price,avr_price,max_price
HP OMEN 16-c0144nw (4S1C1EA),"Ноутбук / Класичний / 16,1"" / IPS / 2560x1440 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 Гб GDDR6 / SSD: 512 ГБ / 2,31 кг / ОС: DOS",0,60470,0
Acer Nitro 5 AN517-41 (NH.QBHEP.006),"Ноутбук / Класичний / 17,3"" / IPS / 2560x1440 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3080 / SSD: 1000 ГБ / 2,7 кг / ОС: Windows 10 Home",71880,81957,84420
GIGABYTE A5 (K1-BEE2150SD),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,16 кг / ОС: DOS",50560,53162,54999
ASUS ROG Strix SCAR 17 G733ZX Off Black (G733ZX-LL003W),"Ноутбук / Класичний / 17,3"" / IPS-level / 2560x1440 / Intel Core i9-12900H / 2,5 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3080 Ti, 16 ГБ GDDR6 / SSD: 1000 ГБ / 2,7 кг / ОС: Windows 11 Home",0,138999,0
Dell Inspiron G15 5511 (5511-3377),"Ноутбук / Класичний / 15,6"" / WVA / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR4 / SSD: 512 ГБ / 2,52 кг / ОС: Windows 11 Home",54300,57528,62008
HP OMEN 17-ck1010nr (63S74UA),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-12700H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6 GB / SSD: 512 ГБ / 2,78 кг / ОС: Windows 11 Home",68850,73268,85120
Lenovo Legion 5 Pro 16ACH6H (82JQ00FFUS),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ GDDR6 / SSD: 1000 ГБ / 2,45 кг / ОС: Windows 11 Home",0,73999,0
ASUS ROG Zephyrus G15 GA503QM (GA503QM-BS94Q),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 9 5900HS / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6GB GDDR6 / SSD: 512 ГБ / 1,9 кг / ОС: Windows 10 Pro",61762,62750,65610
MSI Pulse GL66 12UEK (GL6612UEK-070US),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-12700H / 1,7 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060, 6GB GDDR6 / SSD: 512 ГБ / 2,2 кг / ОС: Windows 10 Pro",57105,60552,63999
MSI Creator Z16 Hiroshi Fujiwara (Z16-237IT),"Ноутбук / Класичний / 16,1"" / IPS / 2560x1600 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 1000 ГБ / 2,2 кг / ОС: Windows 10 Home",70999,71637,73550
MSI Pulse GL76 12UGK-258 (PulseGL7612258),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-12700H / 1.7 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 Гб / SSD: 1000 ГБ / 2.8 кг / ОС: Windows 11 Home",0,71668,0
MSI Katana GF76 12UE (12UE-037),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-12700H / 1.7 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 Гб / SSD: 512 ГБ / 2.6 кг / ОС: Windows 10 Home",0,69160,0
"ASUS ProArt Studiobook 16 OLED H7600ZX Mineral Black (H7600ZX-L2016X, 90NB0XC1-M000K0)","Ноутбук / Класичний / 16"" / OLED / 3840x2400 / Intel Core i7-12700H / 2,3 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080 Ti, 16GB / SSD: 4000 ГБ / 2,4 кг / ОС: Windows 11 Pro",189999,190637,193189
Acer Predator Helios 300 PH315-55s-90ZW Abyssal Black (NH.QJ1EU.003),"Ноутбук / Класичний / 15,6"" / IPS / 3840x2160 / Intel Core i9-12900H / 3,8 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080, 8 ГБ / SSD: 2000 ГБ / 3 кг / ОС: Windows 11 Home",0,169999,0
MSI Crosshair 15 B12UGZ Multi-Color Gradient (B12UGZ-1040XUA),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / Intel Core i7-12700H / 3,5 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ / SSD: 1000 ГБ / 2,47 кг / ОС: DOS",82290,84448,86499
MSI Crosshair 17 B12UGZ (B12UGZ-646XUA),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i9-12900H / 3,8 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ / SSD: 1000 ГБ / 2,8 кг / ОС: DOS",0,92999,0
ASUS TUF Dash F15 FX516PM (FX516PM-HN130T),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-11370H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 512 ГБ / 2 кг / ОС: Windows 10 Home",42970,42992,42999
Razer Blade 15 (RZ09-03286E22-R3U1),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-10750H / 2,6 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 2060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,2 кг / ОС: Windows 10 Home",0,53662,0
Dell G7 7700 (GN7700EHYYH),"Ноутбук / Класичний / 17,3"" / WVA / 1920x1080 / Intel Core i7-10750H / 2,6 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 2070 SUPER, 8 ГБ / SSD: 1000 ГБ / ОС: Windows 10 Home / колір: Чорний",0,64999,0
ASUS ROG Strix G17 G712LW (G712LW-XS78),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-10750H / 2,6 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 2070, 8 ГБ GDDR6 / SSD: 1000 ГБ / 2,83 кг / ОС: Windows 10 Pro",0,60999,0
ASUS ROG Strix SCAR 15 G533QS Black (G533QS-HQ209T),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / AMD Ryzen 9 5900HX / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3080, 8 ГБ / SSD: 512 ГБ / 2,3 кг / ОС: Windows 10 Home",0,78999,0
MSI Creator 15 A10SFS (A10SFS-287US),"Ноутбук / Класичний / 15,6"" / IPS / 3840x2160 / Intel Core i7-10870H / 2,2 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 2070 Super, 8 ГБ / SSD: 1000 ГБ / 2,1 кг / ОС: Windows 10 Home",0,66999,0
Dream Machines RG3060-15UA26,"Ноутбук / Класичний / 15,6"" / WVA / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 1000 ГБ / 2,2 кг / колір: темно-сірий",53527,57935,63889
HP Envy 15-ep0027ur Natural Silver (1L6G9EA),"Ноутбук / Класичний / 15,6"" / AMOLED / 3840х2160 / Intel Core i7-10750H / 2,6 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 2060 Max-Q, 6GB / SSD: 1000 ГБ / 2,14 кг / ОС: Windows 10 Home",0,64999,0
GIGABYTE A7 X1 (X1-CEE1130SH),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / AMD Ryzen 9 5900HX / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 8 ГБ / SSD: 512 ГБ / 2,5 кг / ОС: Windows 10 Home",0,77097,0
Lenovo Legion 5 Pro 16ACH6H (82JQ008NUS),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ GDDR6 / SSD: 512 ГБ / 2,45 кг / ОС: Windows 10 Home",0,69999,0
HP Omen 15-en1010nq (3A8Y1EA),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,45 кг / ОС: DOS",44400,45075,45911
ASUS TUF Dash F15 FX516PM (FX516PM-HN181W),"Ноутбук / Класичний / 15,6"" / EWV / 1920x1080 / Intel Core i7-11370H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 512 ГБ / 2,11 кг / ОС: Windows 11 Home",42970,42992,42999
Lenovo Legion 5 15ACH6H Phantom Blue (82JU00YKRA),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8ГБ TGP 130W / SSD: 1000 ГБ / 2,4 кг / ОС: DOS",0,74999,0
Lenovo Legion 5 15ITH6H (82JH00BEPB),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,4 кг / ОС: Windows 11 Home",54980,58159,59999
HP OMEN 17-ck0304nw (4H3B6EA),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,79 кг / ОС: DOS",59350,59360,59370
Lenovo Legion 7 16ACHg6 (82N6007DPB),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 / SSD: 1000 ГБ / 2,5 кг / ОС: DOS",0,75999,0
ASUS ROG Strix SCAR 15 G533ZX (G533ZX-LN043),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / Intel Core i9-12900H / 1,8 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080 Ti / SSD: 1000 ГБ / 2,3 кг / ОС: DOS",125370,132189,156344
Alienware X15 R1 (AWX15R1-7958WHT-PUS),"Ноутбук / Класичний / 15,6"" / WVA / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ / SSD: 512 ГБ / ОС: Windows 11 Home / колір: темно-сірий",75999,83479,95950
Lenovo ThinkBook 16p G2 ACH Mineral Grey (20YM000BRA),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / AMD Ryzen 9 5900HX / 3,3 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060, 6ГБ GDDR6 / SSD: 1000 ГБ / 1,99 кг / ОС: Windows 10 Pro",0,79999,0
MSI Katana GF66 11UE (GF66 11UE-805PL),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,25 кг / ОС: Windows 11 Home",48199,54582,63983
MSI Vector GP66 12UE (12UE-297XRO),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-12700H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 1000 ГБ / 2.38 кг / ОС: DOS",58071,65716,69702
ASUS ROG Strix G17 G713RM (G713RM-KH094S),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 1000 ГБ / 2,9 кг / ОС: Windows 11 Home",76000,77870,79186
Dream Machines RG3060-17 (RG3060-17UA38),"Ноутбук / Класичний / 17,3"" / WVA / 1920x1080 / Intel Core i7-12700H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 1024 ГБ / 2,5 кг / ОС: DOS",61094,67112,70889
Lenovo Legion 5 Pro 16ARH7H (82RG00A5PB),"Ноутбук / Класичний / 16"" / IPS / 1920x1200 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,49 кг / ОС: Windows 11 Home",58299,58349,58399
Dell Inspiron G15 5510 (5510-1811),"Ноутбук / Класичний / 15,6"" / WVA / 1920x1080 / Intel Core i7-10870H / 2,2 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060 6GB GDDR6 / SSD: 1000 ГБ / 2,44 кг / ОС: DOS",0,48980,0
ASUS ROG Strix G15 G513QM (G513QM-HF353),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 9 5900HX / 3,3 ГГц / ОЗП: 8 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,3 кг / ОС: DOS",0,55399,0
MSI GS66 Stealth 11UE (GS66 11UE-033PL),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / Intel Core i7-11800H / 2,4 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 1000 ГБ / 2,1 кг / ОС: Windows 10 Pro",58899,64978,83214
MSI Creator Z16 (A11UE-084UA),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 1000 ГБ / 2,2 кг / ОС: Windows 10 Pro",0,70999,0
MSI GS66 Stealth 11UE (GS66 11UE-007),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / Intel Core i7-11800H / 2,4 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6GB GDDR6 / SSD: 1000 ГБ / 2,5 кг / ОС: Windows 10 Home",60750,60937,60999
Dell Inspiron G15 (Inspiron-5515-3544),"Ноутбук / Класичний / 15,6"" / WVA / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,81 кг / ОС: Windows 11 DOS",0,49970,0
ASUS ROG Zephyrus M16 GU603HM (GU603HM-K8020T),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 1000 ГБ / 1,9 кг / ОС: Windows 10 Home",0,79999,0
Lenovo Legion 5 17ACH6H (82JY0050PB),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,98 кг / ОС: DOS",0,55480,0
Lenovo Legion 5 Pro 16ITH6H (82JD0040PB),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 130W / SSD: 512 ГБ / 2,3 кг / ОС: Windows 10 Home",65680,65694,65699
Dell Inspiron G15 (Inspiron-5511-9106),"Ноутбук / Класичний / 15,6"" / WVA / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,53 кг / ОС: Windows 11 DOS",53470,56042,56899
GIGABYTE AERO 15 OLED (KD-72EE624SR),"Ноутбук / Класичний / 15,6"" / OLED / 3840x2160 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,19 кг / ОС: Windows 11 PRO",70970,70985,70999
ASUS TUF Gaming A15 TUF506HM (TUF506HM-ES76),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 1000 ГБ / 2,3 кг / ОС: Windows 10",51861,57361,83410
Razer Blade 15 (RZ09-0421PED3-R3E1),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / Intel Core i7-12800H / 1,8 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080 Ti / SSD: 1000 ГБ / 2,02 кг / ОС: Windows 11 Home",158970,158992,158999
Lenovo Legion 5 15ITH6H (82JH00BMPB),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,4 кг / ОС: Windows 11 Home",54800,54812,54824
ASUS Zenbook Pro Duo 15 OLED UX582ZM (UX582ZM-XS99T),"Ноутбук / Класичний / 15,6"" / 3840x2160 / Intel Core i9-12900H / 1,8 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060, 6 Гб / SSD: 1000 ГБ / 2,34 кг / ОС: Windows 11 Pro / 08.2022",139999,144050,152152
Lenovo Legion 5 15ACH6H (82JU00JNPB),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 1000 ГБ / 2,4 кг / ОС: DOS",53480,54518,55555
Acer Nitro 5 AN515-58-726B (NH.QFMAA.014),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-12700H / 2,3 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 1000 ГБ / 2,5 кг / ОС: Windows 11 Home",70600,74345,76999
ASUS ROG Flow X16 GAMING (GV601RM-M5033W),"Ноутбук / 2-в-1 трансформер / 16"" / ROG Nebula HDR / 2560x1600 / AMD Ryzen 7 6800HS / 3,2 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060, 6 GB / SSD: 1000 ГБ / 2,1 кг / ОС: Windows 11 Home",97420,102044,110800
Lenovo Legion 5 Pro 16ACH6H Stingray (82JQ00XNRA),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,45 кг / ОС: DOS",0,63999,0
ASUS ROG Zephyrus G15 GA503QM (GA503QM-HN171T),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 9 5900HS / 3,1 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 1000 ГБ / 1,9 кг / ОС: Windows 10 Home",71200,73458,74131
HP OMEN 15-en1001ns (3B8Z5EA),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,46 кг / ОС: Windows 10 Home",0,63999,0
ASUS ROG Strix SCAR 17 G733QS (G733QS-K4016R),"Ноутбук / Класичний / 17,3"" / IPS / 2560x1440 / AMD Ryzen 9 5900HX / 3,3 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080 / SSD: 1000 ГБ / 2,7 кг / ОС: Windows 10 Pro",0,105999,0
ASUS ROG Zephyrus G14 GA401IV (GA401IV-91610LR),"Ноутбук / Класичний / 14"" / IPS / 2560x1440 / AMD Ryzen 9 4900HS / 3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 2060 Max-Q / SSD: 1000 ГБ / 1,6 кг / ОС: Windows 10 Pro",0,57999,0
ASUS ProArt Studiobook 16 H7600ZX (H7600ZX-L2019X),"Ноутбук / Класичний / 16"" / OLED / 3840x2400 / Intel Core i7-12700H / 3,5 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080Ti, 16 ГБ / SSD: 1000 ГБ / 2,4 кг / ОС: Windows 11 Pro",138720,148554,158692
MSI Stealth 15M A11UEK (A11UEK-019PL),"Ноутбук / Класичний / 15,6"" / IPS-level / 1920x1080 / Intel Core i7-11375H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 1,69 кг / ОС: Windows 10 Home",48699,51366,58136
HP OMEN 15-ek0018nr (3G347UA),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i5-10300H / 2,5 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 2060, 6 ГБ GDDR6 / HDD: 1024 ГБ / SSD: 256 ГБ / 2,46 кг",0,45999,0
ASUS ROG Zephyrus G15 GA503QS (GA503QS-HQ047T),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / AMD Ryzen 9 5900HS / 3 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080, 8 ГБ GDDR6 / SSD: 1000 ГБ / 1,9 кг / ОС: Windows 10 Home",0,99599,0
ASUS ROG Zephyrus G14 GA401QM (GA401QM-K2069T),"Ноутбук / Класичний / 14"" / EWV / 2560x1440 / AMD Ryzen 9 5900HS / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 1,7 кг / ОС: Windows 10 Home / колір: Сірий",0,57999,0
Acer Predator Triton 500 SE PT516-51s-75WM (NH.QE6AA.001),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ GDDR6 / SSD: 1000 ГБ / 2,45 кг / ОС: Windows 10 Home",70470,87966,99760
ASUS ROG Zephyrus Duo 15 SE GX551QR (GX551QR-HB099R),"Ноутбук / Класичний / 15,6"" / EWV / 3840x2160 / AMD Ryzen 9 5980HX / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3070 / SSD: 1000 ГБ / 2,48 кг / ОС: Windows 10 Pro / 01.2022",108970,108992,108999
Razer Blade 17 (RZ09-0423PEF3-R3U1),"Ноутбук / Класичний / 17,3"" / IPS / 3840x2160 / Intel Core i9-12900H / 1.8 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080 Ti, 16 Гб DDR6 / SSD: 1000 ГБ / 2.75 кг / ОС: Windows 11 Home",0,182249,0
HP Victus 16-d0007ua Mica Silver (4R869EA),"Ноутбук / Класичний / 16,1"" / IPS / 2560х1440 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060  Max-Q, 6 GB / SSD: 1000 ГБ / 2,48 кг / ОС: DOS",0,66999,0
Lenovo Legion 5 15ACH (82JU00AFPB),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 / SSD: 1000 ГБ / 2,46 кг / ОС: Windows 10 Home",64570,66724,73237
Lenovo Legion 5 Pro 16ACH6H (82JQ00F9US),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ GDDR6 / SSD: 512 ГБ / 2,45 кг / ОС: Windows 10 Home",0,78999,0
HP Victus 16-d0104nw (4H357EA),"Ноутбук / Класичний / 16,1"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6 GB GDDR6 / SSD: 512 ГБ / 2,48 кг / ОС: DOS",49970,53742,54999
MSI GS75 Stealth 10SE (GS7510SE-1037FR),"Ноутбук / Класичний / 17,3"" / IPS / 3840x2160 / Intel Core i7-10750H / 2,6 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 2060, 6 ГБ GDDR6 / SSD: 1000 ГБ / 2,4 кг / ОС: Windows 10 Pro",0,54674,0
Acer Nitro 5 AN517-55 (NH.QFWEP.00C),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i5-12500H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6GB GDDR6 / SSD: 512 ГБ / 3,05 кг / ОС: Windows 11 Home",61999,64128,65828
HP Victus 16-d1010nr (668S1UA),"Ноутбук / Класичний / 16,1"" / IPS / 1920x1080 / Intel Core i7-12700H / 2,8 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 512 ГБ / 2,46 кг / ОС: Windows 11 Home",0,82992,0
ASUS ProArt Studiobook 16 OLED H5600QR (H5600QR-L2155X),"Ноутбук / Класичний / 16"" / OLED / 3840x2400 / AMD Ryzen 9 5900HX / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 / SSD: 1000 ГБ / 2,24 кг / ОС: Windows 11 PRO",99780,99795,99800
ASUS TUF Dash F15 TUF516PR (TUF516PR-DS77-WH),"Ноутбук / Класичний / 15,6"" / 1920x1080 / Intel Core i7-11375H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 Гб / SSD: 1000 ГБ / 2 кг / ОС: Windows 10 Home / 08.2022",64195,69078,85165
Lenovo Legion 5 15ACH6H (82JU0066RM),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,4 кг / ОС: DOS",0,55999,0
ASUS TUF Dash F15 FX516PM (FX516PM-HN013T),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i5-11300H / 3,1 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2 кг / ОС: Windows 10 Home",0,42999,0
Acer Predator Helios 300 PH317-56-76D8 Abyss Black (NH.QGVEU.007),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-12700H / 2,3 ГГц / ОЗП: 16 ГБ / nVidia GeForce RTX 3060 Max-Q, 6 ГБ / SSD: 512 ГБ / 3 кг / ОС: Linux",83499,85555,90907
ASUS ROG Zephyrus Duo 15 SE GX551QS (GX551QS-XS98),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 9 5900HX / 3,3 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080 / SSD: 1000 ГБ / 2,5 кг / ОС: Windows 10 Pro",115999,117754,120690
